Epoch 1/200, Loss: 2.991222266227968
Validation Phase, Loss: 3.2523501457706576
Best model saved with validation loss: 3.2523501457706576
Epoch 2/200, Loss: 2.9472225096917923
Epoch 3/200, Loss: 2.910635079106977
Epoch 4/200, Loss: 2.8864362605156435
Epoch 5/200, Loss: 2.860309354720577
Epoch 6/200, Loss: 2.8316703977123385
Epoch 7/200, Loss: 2.8175263385618887
Epoch 8/200, Loss: 2.758324344311991
Epoch 9/200, Loss: 2.7206716249066014
Epoch 10/200, Loss: 2.7075700356114294
Epoch 11/200, Loss: 2.6989801333796595
Validation Phase, Loss: 3.979385322140109
Epoch 12/200, Loss: 2.670434671063577
Epoch 13/200, Loss: 2.66147312425798
Epoch 14/200, Loss: 2.6148676122388532
Epoch 15/200, Loss: 2.619694244477057
Epoch 16/200, Loss: 2.5680073903452967
Epoch 17/200, Loss: 2.5584173510151524
Epoch 18/200, Loss: 2.5601494293059073
Epoch 19/200, Loss: 2.55109824672822
Epoch 20/200, Loss: 2.5274645109330454
Epoch 21/200, Loss: 2.4983017848383997
Validation Phase, Loss: 2.7504618398604856
Best model saved with validation loss: 2.7504618398604856
Epoch 22/200, Loss: 2.5055526437297946
Epoch 23/200, Loss: 2.4906032950647417
Epoch 24/200, Loss: 2.473667838881093
Epoch 25/200, Loss: 2.4703371178719307
Epoch 26/200, Loss: 2.463955433137955
Epoch 27/200, Loss: 2.4595329107776767
Epoch 28/200, Loss: 2.4528883907102768
Epoch 29/200, Loss: 2.4433288997219456
Epoch 30/200, Loss: 2.442605872308054
Epoch 31/200, Loss: 2.4271015409500367
Validation Phase, Loss: 2.686263730449061
Best model saved with validation loss: 2.686263730449061
Epoch 32/200, Loss: 2.4149458023809616
Epoch 33/200, Loss: 2.42750758124936
Epoch 34/200, Loss: 2.4289309363211355
Epoch 35/200, Loss: 2.4173931825545525
Epoch 36/200, Loss: 2.4084839147906147
Epoch 37/200, Loss: 2.396539009386493
Epoch 38/200, Loss: 2.3823612178525617
Epoch 39/200, Loss: 2.4000886044194623
Epoch 40/200, Loss: 2.3856225109869436
Epoch 41/200, Loss: 2.3874810741793726
Validation Phase, Loss: 2.608202642010104
Best model saved with validation loss: 2.608202642010104
Epoch 42/200, Loss: 2.3930674618290317
Epoch 43/200, Loss: 2.3882308640787677
Epoch 44/200, Loss: 2.359148571568151
Epoch 45/200, Loss: 2.3623036011572807
Epoch 46/200, Loss: 2.3725487272585593
Epoch 47/200, Loss: 2.3848600349118634
Epoch 48/200, Loss: 2.3513866893706785
Epoch 49/200, Loss: 2.3470191272997085
Epoch 50/200, Loss: 2.3594265368676957
Epoch 51/200, Loss: 2.349891035787521
Validation Phase, Loss: 2.603040702881352
Best model saved with validation loss: 2.603040702881352
Epoch 52/200, Loss: 2.3732755799447336
Epoch 53/200, Loss: 2.3459002615944033
Epoch 54/200, Loss: 2.337270542498558
Epoch 55/200, Loss: 2.3404781837617197
Epoch 56/200, Loss: 2.357488520683781
Epoch 57/200, Loss: 2.3405714861808287
Epoch 58/200, Loss: 2.3373204873454188
Epoch 59/200, Loss: 2.3505973392917263
Epoch 60/200, Loss: 2.337867121542654
Epoch 61/200, Loss: 2.341547103658799
Validation Phase, Loss: 2.611881502213017
Epoch 62/200, Loss: 2.3453395443577922
Epoch 63/200, Loss: 2.3352300274756645
Epoch 64/200, Loss: 2.3443496640651458
Epoch 65/200, Loss: 2.34697364991711
Epoch 66/200, Loss: 2.3367818209432785
Epoch 67/200, Loss: 2.3530026655043326
Epoch 68/200, Loss: 2.3378168363724985
Epoch 69/200, Loss: 2.330092268605386
Epoch 70/200, Loss: 2.3440437115007833
Epoch 71/200, Loss: 2.3507252623957973
Validation Phase, Loss: 2.6003817204506166
Best model saved with validation loss: 2.6003817204506166
Epoch 72/200, Loss: 2.3406725179764534
Epoch 73/200, Loss: 2.3245717652382387
Epoch 74/200, Loss: 2.353021965872857
Epoch 75/200, Loss: 2.3376466766480477
Epoch 76/200, Loss: 2.338699298520242
Epoch 77/200, Loss: 2.3210694020794285
Epoch 78/200, Loss: 2.3375474339531315
Epoch 79/200, Loss: 2.3340242428164326
Epoch 80/200, Loss: 2.3326824615078587
Epoch 81/200, Loss: 2.338444250245248
Validation Phase, Loss: 2.596109974768854
Best model saved with validation loss: 2.596109974768854
Epoch 82/200, Loss: 2.3261669951100505
Epoch 83/200, Loss: 2.3298766343824324
Epoch 84/200, Loss: 2.3152734137350515
Epoch 85/200, Loss: 2.334555697056555
Epoch 86/200, Loss: 2.3280690610408783
Epoch 87/200, Loss: 2.349613135860812
Epoch 88/200, Loss: 2.336245290694698
Epoch 89/200, Loss: 2.3388298355763957
Epoch 90/200, Loss: 2.3434123435328083
Epoch 91/200, Loss: 2.321271183029298
Validation Phase, Loss: 2.599997389701105
Epoch 92/200, Loss: 2.3379048349395877
Epoch 93/200, Loss: 2.327724786535386
Epoch 94/200, Loss: 2.333726792566238
Epoch 95/200, Loss: 2.3454116025278644
Epoch 96/200, Loss: 2.3385169217663426
Epoch 97/200, Loss: 2.33166850766828
Epoch 98/200, Loss: 2.3314874191437998
Epoch 99/200, Loss: 2.3177605261725764
Epoch 100/200, Loss: 2.347312363886064
Epoch 101/200, Loss: 2.3449261544212217
Validation Phase, Loss: 2.608093238645984
Epoch 102/200, Loss: 2.3341206754407575
Epoch 103/200, Loss: 2.338535216546828
Epoch 104/200, Loss: 2.3322233644223984
Epoch 105/200, Loss: 2.346909031752617
Epoch 106/200, Loss: 2.3569282581729274
Epoch 107/200, Loss: 2.3265917397314504
Epoch 108/200, Loss: 2.3298391257562945
Epoch 109/200, Loss: 2.329798859934653
Epoch 110/200, Loss: 2.344970892513952
Epoch 111/200, Loss: 2.328004555356118
Validation Phase, Loss: 2.5918931268876597
Best model saved with validation loss: 2.5918931268876597
Epoch 112/200, Loss: 2.343944413046683
Epoch 113/200, Loss: 2.3343983638671135
Epoch 114/200, Loss: 2.3303532331220564
Epoch 115/200, Loss: 2.3288578544893572
Epoch 116/200, Loss: 2.3461538591692523
Epoch 117/200, Loss: 2.3204080087523304
Epoch 118/200, Loss: 2.3406287056784474
Epoch 119/200, Loss: 2.328606661288969
Epoch 120/200, Loss: 2.325687538231573
Epoch 121/200, Loss: 2.319424698429723
Validation Phase, Loss: 2.599606521667973
Epoch 122/200, Loss: 2.339879910792074
Epoch 123/200, Loss: 2.32651009098176
Epoch 124/200, Loss: 2.3298809662941964
Epoch 125/200, Loss: 2.3406435943418935
Epoch 126/200, Loss: 2.3232355367752815
Epoch 127/200, Loss: 2.32178948579296
Epoch 128/200, Loss: 2.333830525798182
Epoch 129/200, Loss: 2.323785355975551
Epoch 130/200, Loss: 2.3353330694860026
Epoch 131/200, Loss: 2.327956219834666
Validation Phase, Loss: 2.596726071450018
Epoch 132/200, Loss: 2.3184956523679916
Epoch 133/200, Loss: 2.3448410476407697
Epoch 134/200, Loss: 2.3465901661303734
Epoch 135/200, Loss: 2.3361449481979495
Epoch 136/200, Loss: 2.323939584916638
Epoch 137/200, Loss: 2.347353259401937
Epoch 138/200, Loss: 2.3368004916175718
Epoch 139/200, Loss: 2.32913895768504
Epoch 140/200, Loss: 2.3463021901346024
Epoch 141/200, Loss: 2.333598655077719
Validation Phase, Loss: 2.5972221512948312
Epoch 142/200, Loss: 2.3217453745103653
Epoch 143/200, Loss: 2.3274693931302717
Epoch 144/200, Loss: 2.3203037390785832
Epoch 145/200, Loss: 2.32428035043901
Epoch 146/200, Loss: 2.337903728408198
Epoch 147/200, Loss: 2.3260743118101552
Epoch 148/200, Loss: 2.3484893325836427
Epoch 149/200, Loss: 2.319176233583881
Epoch 150/200, Loss: 2.3360484155916397
Epoch 151/200, Loss: 2.3328731415733213
Validation Phase, Loss: 2.598988602238317
Epoch 152/200, Loss: 2.3229679676794235
Epoch 153/200, Loss: 2.337086296850635
Epoch 154/200, Loss: 2.3316424556316866
Epoch 155/200, Loss: 2.3458764130069363
Epoch 156/200, Loss: 2.3196610145030485
Epoch 157/200, Loss: 2.3288693389584942
Epoch 158/200, Loss: 2.329623946259099
Epoch 159/200, Loss: 2.355545179497811
Epoch 160/200, Loss: 2.337450356252732
Epoch 161/200, Loss: 2.3224825695637734
Validation Phase, Loss: 2.5936516792543474
Epoch 162/200, Loss: 2.339208080883949
Epoch 163/200, Loss: 2.3311012829503706
Epoch 164/200, Loss: 2.329207120403167
Epoch 165/200, Loss: 2.3232672099144227
Epoch 166/200, Loss: 2.339439781442765
Epoch 167/200, Loss: 2.333275489268764
Epoch 168/200, Loss: 2.321652950779084
Epoch 169/200, Loss: 2.3172822142800977
Epoch 170/200, Loss: 2.33563736754079
Epoch 171/200, Loss: 2.337589450420872
Validation Phase, Loss: 2.5955101136238343
Epoch 172/200, Loss: 2.3380892440196006
Epoch 173/200, Loss: 2.328190376681666
Epoch 174/200, Loss: 2.348613231412826
Epoch 175/200, Loss: 2.3477065044064678
Epoch 176/200, Loss: 2.3268207119357203
Epoch 177/200, Loss: 2.321624866416377
Epoch 178/200, Loss: 2.323786470197862
Epoch 179/200, Loss: 2.3509002193327873
Epoch 180/200, Loss: 2.3470649853829415
Epoch 181/200, Loss: 2.3337744118705874
Validation Phase, Loss: 2.5923285715041624
Epoch 182/200, Loss: 2.3230417015091067
Epoch 183/200, Loss: 2.332650463427267
Epoch 184/200, Loss: 2.3414481820598727
Epoch 185/200, Loss: 2.3345283279495854
Epoch 186/200, Loss: 2.326272477065363
Epoch 187/200, Loss: 2.3382155904846806
Epoch 188/200, Loss: 2.351236170338046
Epoch 189/200, Loss: 2.3412520548989697
Epoch 190/200, Loss: 2.3379337576127823
Epoch 191/200, Loss: 2.3130198851708443
Validation Phase, Loss: 2.6004163680538053
Epoch 192/200, Loss: 2.3395203544247534
Epoch 193/200, Loss: 2.3401311347561498
Epoch 194/200, Loss: 2.3395101120395045
Epoch 195/200, Loss: 2.3291421186539436
Epoch 196/200, Loss: 2.326003377476046
Epoch 197/200, Loss: 2.330096898540374
Epoch 198/200, Loss: 2.340831441263999
Epoch 199/200, Loss: 2.323026410994991
Epoch 200/200, Loss: 2.3232578731352285
c:\Users\rahat\miniconda3\envs\orc\Lib\site-packages\pydub\utils.py:170: RuntimeWarning: Couldn't find ffmpeg or avconv - defaulting to ffmpeg, but may not work
  warn("Couldn't find ffmpeg or avconv - defaulting to ffmpeg, but may not work", RuntimeWarning)
c:\Users\rahat\miniconda3\envs\orc\Lib\site-packages\pydub\utils.py:198: RuntimeWarning: Couldn't find ffprobe or avprobe - defaulting to ffprobe, but may not work
  warn("Couldn't find ffprobe or avprobe - defaulting to ffprobe, but may not work", RuntimeWarning)
DATA\bollypop\bp01.mp3
c:\Users\rahat\miniconda3\envs\orc\Lib\site-packages\pydub\utils.py:198: RuntimeWarning: Couldn't find ffprobe or avprobe - defaulting to ffprobe, but may not work
